LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID18749,18749,0,578.0,25.030671296296294,54.3365162037037,0.0,110.0,110,13.540550005146153,1,,696.8717504332756,316.0,79.0,5001.0,402095.0,890.6476444582611,0.8888725394937774,0.7363999803082839,-0.09620792793727813,0.1374234767845482,35.29245764046226,5.417763294126392,-1.2567650145528777,6.514211811122164,576.0000000000002,171.94180614070046,0.24483267555383978,0.8714069591527991,7.164241922529185
ID18734,18734,0,609.0,24.795183982683984,55.09713203463204,0.0,111.0,111,14.002817212590298,1,,657.3915171288744,291.0,75.0,4895.0,402981.0,864.0480519081995,0.8853687410150478,0.7145688469473862,0.010509721418360065,-0.038859612310566734,37.41303785906765,5.4056888986567255,-1.2715684208150557,6.9210490208499635,616.0000000000001,176.9428914990763,0.2472431887899049,0.8750000000000001,7.129232264550346
ID18744,18744,0,603.0,25.236492103075644,53.64463840399002,0.0,112.0,112,13.83702990310963,1,,679.603648424544,292.0,73.0,5024.0,409801.0,888.1485279843419,0.8895057744579179,0.7204446908867836,0.20627554829085124,-0.5069102868064683,35.73941763709937,5.582349190678421,-1.2585142749782467,6.402218208917879,601.5,174.07343095228364,0.24944828197990493,0.8704775687409549,7.097651533847372
ID18737,18737,0,604.0,25.103700635183653,54.44808064070698,0.0,113.0,113,13.860015018459311,1,,680.9038142620232,291.0,80.0,5025.0,410585.0,892.1951747995463,0.8850622129160388,0.7166448824540996,0.0582835860381104,-0.5050061589600953,36.221711922642385,5.779294417138206,1.8770832309324796,6.267497259739653,603.5,167.22730578498508,0.27118942654314826,0.8646131805157593,6.807200705265311
ID18740,18740,0,611.0,25.30081300813008,53.78428184281843,0.0,114.0,114,13.991446672986724,1,,664.3495145631068,288.0,72.0,4982.0,410568.0,877.4507263404342,0.8845898545977915,0.7107698301465968,0.12743628904552765,-0.026562605629455376,35.33436107875623,5.669889295925498,-1.2596518383345843,6.23193138958608,615.0,165.79955411720854,0.2811371664101769,0.8965014577259472,6.685683301812798
ID18743,18743,0,581.0,25.266263672999422,52.896948762233734,0.0,115.0,115,13.575766059431594,1,,709.0674740484429,327.0,63.0,5140.0,409841.0,909.5188210846987,0.8897061702368892,0.7341050143935716,0.19023087401132543,-0.5333292347986281,36.20075255502374,5.396945384713478,1.8740768917475092,6.707637371606574,579.0000000000001,166.59184844861423,0.26216875624362246,0.8935185185185185,6.923320951997154
ID18757,18757,0,581.0,25.33405234397469,53.4384526890998,0.0,116.0,116,13.581626524224065,1,,692.1362068965517,310.0,87.0,4891.0,401439.0,885.2075683710033,0.8856389130666943,0.7344709178588767,-0.4231352713417217,0.4351495308504266,34.58781220928829,5.694971553423684,1.8850083413843546,6.073395079294979,579.4999999999999,162.33324201479505,0.27634294396199505,0.8701201201201199,6.743428266484218
ID18747,18747,0,591.0,25.077126917712693,54.30697350069735,0.0,117.0,117,13.79094474627518,1,,665.195652173913,297.0,69.0,4994.0,397787.0,866.3121728058447,0.8870355051344532,0.7218815010371303,0.28365661549204646,-0.6668203645166614,34.79879336179105,5.5382872488359824,-1.2627696014848322,6.283313197433906,597.5000000000001,171.9216635595915,0.25403090998395295,0.8445229681978799,7.03334061234067
ID18767,18767,0,603.0,24.9395936298737,54.82289950576606,0.0,118.0,118,13.900147514093545,1,,660.4630541871921,283.0,81.0,4868.0,402222.0,868.6324659406021,0.8865766845486819,0.7146350449690924,-0.11077044263864272,-0.021072891537213062,37.75139115182476,5.409154171760423,1.8750674273085137,6.979167158686933,607.0,175.8653855416906,0.24662540881748274,0.8671428571428569,7.1381558022049845
ID18760,18760,0,587.0,25.117789144643364,53.371554418868996,0.0,119.0,119,13.66340910046952,1,,677.4478632478632,303.0,62.0,4897.0,396307.0,876.2864795719087,0.8853497708014403,0.7260770484050814,0.07635285273014324,-0.37623800410857927,35.346509034955425,5.3191688920186,1.87761894150012,6.645118768082882,586.5000000000002,162.31634652244327,0.2797392220179876,0.9009216589861752,6.702367708827782
